R, F=Q^2/(2R^4) (Q=1), L=4 pi rho, L_F, kappa=1+2F L_FF/L_F
2.343985762914826482e-05,1.656342426724331264e+18,2.042218015628493433e+01,8.975286330461487236e-34,nan
2.344658454727943878e-05,1.654442399752642560e+18,2.042218015628493433e+01,8.995913314444223597e-34,nan
2.345331339594399278e-05,1.652544552343847936e+18,2.042218015628493433e+01,9.016587703317745115e-34,nan
2.346004417569595753e-05,1.650648881997723392e+18,2.042218015628493433e+01,9.037309606027863709e-34,nan
2.346677688708953991e-05,1.648755386216910080e+18,2.042218015628493433e+01,9.058079131770787871e-34,nan
2.347351153067908232e-05,1.646864062506918912e+18,2.042218015628493433e+01,9.078896389993654650e-34,nan
2.348024810701910674e-05,1.644974908376117504e+18,2.042218015628493433e+01,9.099761490395160856e-34,nan
2.348698661666428084e-05,1.643087921335735040e+18,2.042218015628493433e+01,9.120674542926095045e-34,nan
2.349372706016944509e-05,1.641203098899851776e+18,2.042218015628493433e+01,9.141635657789943060e-34,nan
2.350046943808962289e-05,1.639320438585393408e+18,2.042218015628493433e+01,9.162644945443580813e-34,nan
2.350721375097988172e-05,1.637439937912165632e+18,2.042218015628493433e+01,9.183702516597351261e-34,nan
2.351395999939558042e-05,1.635561594402782720e+18,2.042218015628493433e+01,9.204808482216429438e-34,nan
2.352070818389218965e-05,1.633685405582714368e+18,2.042218015628493433e+01,9.225962953520872064e-34,nan
2.352745830502532575e-05,1.631811368980271872e+18,2.042218015628493433e+01,9.247166041986327431e-34,nan
2.353421036335078464e-05,1.629939482126596864e+18,2.042218015628493433e+01,9.268417859344664889e-34,nan
2.354096435942451809e-05,1.628069742555663872e+18,2.042218015628493433e+01,9.289718517584525657e-34,nan
2.354772029380262693e-05,1.626202147804279296e+18,2.042218015628493433e+01,9.311068128951912959e-34,nan
2.355447816704137805e-05,1.624336695412073472e+18,2.042218015628493433e+01,9.332466805950799287e-34,nan
2.356123797969720431e-05,1.622473382921496576e+18,2.042218015628493433e+01,9.353914661343725092e-34,nan
2.356799973232668092e-05,1.620612207877823744e+18,2.042218015628493433e+01,9.375411808152349591e-34,nan
2.357476342548656261e-05,1.618753167829139456e+18,2.042218015628493433e+01,9.396958359658121311e-34,nan
2.358152905973375662e-05,1.616896260326343936e+18,2.042218015628493433e+01,9.418554429402808362e-34,nan
2.358829663562532264e-05,1.615041482923148032e+18,2.042218015628493433e+01,9.440200131189110826e-34,nan
2.359506615371848636e-05,1.613188833176067328e+18,2.042218015628493433e+01,9.461895579081285108e-34,nan
2.360183761457063274e-05,1.611338308644420608e+18,2.042218015628493433e+01,9.483640887405732379e-34,nan
2.360861101873930936e-05,1.609489906890325760e+18,2.042218015628493433e+01,9.505436170751580166e-34,nan
2.361538636678221965e-05,1.607643625478698240e+18,2.042218015628493433e+01,9.527281543971327235e-34,nan
2.362216365925723645e-05,1.605799461977244416e+18,2.042218015628493433e+01,9.549177122181418346e-34,nan
2.362894289672237152e-05,1.603957413956466176e+18,2.042218015628493433e+01,9.571123020762841241e-34,nan
2.363572407973581956e-05,1.602117478989646592e+18,2.042218015628493433e+01,9.593119355361776656e-34,nan
2.364250720885592436e-05,1.600279654652855552e+18,2.042218015628493433e+01,9.615166241890174791e-34,nan
2.364929228464119574e-05,1.598443938524941312e+18,2.042218015628493433e+01,9.637263796526367686e-34,nan
2.365607930765029258e-05,1.596610328187533312e+18,2.042218015628493433e+01,9.659412135715697003e-34,nan
2.366286827844204317e-05,1.594778821225031936e+18,2.042218015628493433e+01,9.681611376171105885e-34,nan
2.366965919757543505e-05,1.592949415224609280e+18,2.042218015628493433e+01,9.703861634873782127e-34,nan
2.367645206560962178e-05,1.591122107776204032e+18,2.042218015628493433e+01,9.726163029073755167e-34,nan
2.368324688310390259e-05,1.589296896472523008e+18,2.042218015628493433e+01,9.748515676290506758e-34,nan
2.369004365061775291e-05,1.587473778909029888e+18,2.042218015628493433e+01,9.770919694313636379e-34,nan
2.369684236871079724e-05,1.585652752683950848e+18,2.042218015628493433e+01,9.793375201203393224e-34,nan
2.370364303794282273e-05,1.583833815398266112e+18,2.042218015628493433e+01,9.815882315291392929e-34,nan
2.371044565887378590e-05,1.582016964655704832e+18,2.042218015628493433e+01,9.838441155181194033e-34,nan
2.371725023206379239e-05,1.580202198062749184e+18,2.042218015628493433e+01,9.861051839748912077e-34,nan
2.372405675807311720e-05,1.578389513228624384e+18,2.042218015628493433e+01,9.883714488143885010e-34,nan
2.373086523746219123e-05,1.576578907765299200e+18,2.042218015628493433e+01,9.906429219789270179e-34,nan
2.373767567079160799e-05,1.574770379287480832e+18,2.042218015628493433e+01,9.929196154382673823e-34,nan
2.374448805862212360e-05,1.572963925412613376e+18,2.042218015628493433e+01,9.952015411896818189e-34,nan
2.375130240151464669e-05,1.571159543760875776e+18,2.042218015628493433e+01,9.974887112580106023e-34,nan
2.375811870003025864e-05,1.569357231955173376e+18,2.042218015628493433e+01,9.997811376957335587e-34,nan
2.376493695473019672e-05,1.567556987621140224e+18,2.042218015628493433e+01,1.002078832583026686e-33,nan
2.377175716617585741e-05,1.565758808387134208e+18,2.042218015628493433e+01,1.004381808027829892e-33,nan
2.377857933492879986e-05,1.563962691884233472e+18,2.042218015628493433e+01,1.006690076165908917e-33,nan
2.378540346155074580e-05,1.562168635746233344e+18,2.042218015628493433e+01,1.009003649160921534e-33,nan
2.379222954660357626e-05,1.560376637609644288e+18,2.042218015628493433e+01,1.011322539204476731e-33,nan
2.379905759064933145e-05,1.558586695113687296e+18,2.042218015628493433e+01,1.013646758516205021e-33,nan
2.380588759425022105e-05,1.556798805900290816e+18,2.042218015628493433e+01,1.015976319343819846e-33,nan
2.381271955796860715e-05,1.555012967614089728e+18,2.042218015628493433e+01,1.018311233963181042e-33,nan
2.381955348236701451e-05,1.553229177902420992e+18,2.042218015628493433e+01,1.020651514678361380e-33,nan
2.382638936800813727e-05,1.551447434415317248e+18,2.042218015628493433e+01,1.022997173821711566e-33,nan
2.383322721545481866e-05,1.549667734805511936e+18,2.042218015628493433e+01,1.025348223753922508e-33,nan
2.384006702527007471e-05,1.547890076728425984e+18,2.042218015628493433e+01,1.027704676864094935e-33,nan
2.384690879801707730e-05,1.546114457842173184e+18,2.042218015628493433e+01,1.030066545569800805e-33,nan
2.385375253425915415e-05,1.544340875807554048e+18,2.042218015628493433e+01,1.032433842317148310e-33,nan
2.386059823455981258e-05,1.542569328288048384e+18,2.042218015628493433e+01,1.034806579580853889e-33,nan
2.386744589948270896e-05,1.540799812949819392e+18,2.042218015628493433e+01,1.037184769864300558e-33,nan
2.387429552959165213e-05,1.539032327461709568e+18,2.042218015628493433e+01,1.039568425699603937e-33,nan
2.388114712545063729e-05,1.537266869495229952e+18,2.042218015628493433e+01,1.041957559647686835e-33,nan
2.388800068762379856e-05,1.535503436724567808e+18,2.042218015628493433e+01,1.044352184298334327e-33,nan
2.389485621667548687e-05,1.533742026826564352e+18,2.042218015628493433e+01,1.046752312270284241e-33,nan
2.390171371317008705e-05,1.531982637480759296e+18,2.042218015628493433e+01,1.049157956211226139e-33,nan
2.390857317767226516e-05,1.530225266369322752e+18,2.042218015628493433e+01,1.051569128797963985e-33,nan
2.391543461074681259e-05,1.528469911177093632e+18,2.042218015628493433e+01,1.053985842736419740e-33,nan
2.392229801295869015e-05,1.526716569591564544e+18,2.042218015628493433e+01,1.056408110761716494e-33,nan
2.392916338487300436e-05,1.524965239302885376e+18,2.042218015628493433e+01,1.058835945638244157e-33,nan
2.393603072705503788e-05,1.523215918003851264e+18,2.042218015628493433e+01,1.061269360159728560e-33,nan
2.394290004007023265e-05,1.521468603389905664e+18,2.042218015628493433e+01,1.063708367149298682e-33,nan
2.394977132448418306e-05,1.519723293159137536e+18,2.042218015628493433e+01,1.066152979459551483e-33,nan
2.395664458086265968e-05,1.517979985012273152e+18,2.042218015628493433e+01,1.068603209972624259e-33,nan
2.396351980977158894e-05,1.516238676652678400e+18,2.042218015628493433e+01,1.071059071600258445e-33,nan
2.397039701177705652e-05,1.514499365786353408e+18,2.042218015628493433e+01,1.073520577283869069e-33,nan
2.397727618744532088e-05,1.512762050121928192e+18,2.042218015628493433e+01,1.075987739994614366e-33,nan
2.398415733734278956e-05,1.511026727370664448e+18,2.042218015628493433e+01,1.078460572733461467e-33,nan
2.399104046203604291e-05,1.509293395246445824e+18,2.042218015628493433e+01,1.080939088531257390e-33,nan
2.399792556209181710e-05,1.507562051465781760e+18,2.042218015628493433e+01,1.083423300448795404e-33,nan
2.400481263807701776e-05,1.505832693747798016e+18,2.042218015628493433e+01,1.085913221576886709e-33,nan
2.401170169055870293e-05,1.504105319814240256e+18,2.042218015628493433e+01,1.088408865036425601e-33,nan
2.401859272010411025e-05,1.502379927389462528e+18,2.042218015628493433e+01,1.090910243978464060e-33,nan
2.402548572728062306e-05,1.500656514200434432e+18,2.042218015628493433e+01,1.093417371584274011e-33,nan
2.403238071265579407e-05,1.498935077976730880e+18,2.042218015628493433e+01,1.095930261065422760e-33,nan
