# Base profile of the inner-extremal family (triple root) (src/stability/triple_root_monotone.py, base0, sigma_min=1), units G=c=M=1, lambda=ell/M=0.27102, rho_c=1.625145, R-=0.67744, R+=1.98465; columns: R, m(R) (Misner-Sharp mass), rho(R) (= -T^t_t = -T^R_R), f = 1-2m/R, sigma = -d ln rho/d ln R; p_perp = -rho(1 - sigma/2)
R,m,rho,f,sigma
4.915452035647e-03,8.084835973948e-07,1.625145231511e+00,9.996710440499e-01,5.631061543918e-07
4.927640194131e-03,8.145125749097e-07,1.625145229233e+00,9.996694106944e-01,5.687119859660e-07
4.939858573886e-03,8.205864726707e-07,1.625145226933e+00,9.996677692446e-01,5.743735524446e-07
4.952107249847e-03,8.267057424201e-07,1.625145224610e+00,9.996661196130e-01,5.800916268307e-07
4.964386297136e-03,8.328705885629e-07,1.625145222263e+00,9.996644618131e-01,5.858665211508e-07
4.976695791059e-03,8.390814120738e-07,1.625145219894e+00,9.996627957796e-01,5.916989154186e-07
4.989035807112e-03,8.453385853640e-07,1.625145217501e+00,9.996611214599e-01,5.975894378482e-07
5.001406420976e-03,8.516423620208e-07,1.625145215083e+00,9.996594388497e-01,6.035384934688e-07
5.013807708520e-03,8.579931980076e-07,1.625145212642e+00,9.996577478643e-01,6.095468698710e-07
5.026239745801e-03,8.643913825849e-07,1.625145210177e+00,9.996560484870e-01,6.156150409989e-07
5.038702609065e-03,8.708372206424e-07,1.625145207687e+00,9.996543406951e-01,6.217435102325e-07
5.051196374747e-03,8.773312254148e-07,1.625145205172e+00,9.996526243843e-01,6.279331786328e-07
5.063721119471e-03,8.838735990596e-07,1.625145202632e+00,9.996508995744e-01,6.341843559511e-07
5.076276920051e-03,8.904647462303e-07,1.625145200067e+00,9.996491662058e-01,6.404977382593e-07
5.088863853493e-03,8.971051009797e-07,1.625145197477e+00,9.996474242083e-01,6.468740799772e-07
5.101481996993e-03,9.037949130847e-07,1.625145194860e+00,9.996456735852e-01,6.533137825444e-07
5.114131427936e-03,9.105346464945e-07,1.625145192218e+00,9.996439142563e-01,6.598176599753e-07
5.126812223904e-03,9.173246479004e-07,1.625145189549e+00,9.996421461884e-01,6.663863019595e-07
5.139524462666e-03,9.241652210847e-07,1.625145186854e+00,9.996403693658e-01,6.730202152735e-07
5.152268222188e-03,9.310568903222e-07,1.625145184132e+00,9.996385836877e-01,6.797203355879e-07
5.165043580627e-03,9.379999107689e-07,1.625145181383e+00,9.996367891592e-01,6.864870771903e-07
5.177850616334e-03,9.449946709436e-07,1.625145178606e+00,9.996349857341e-01,6.933211138036e-07
5.190689407856e-03,9.520416726906e-07,1.625145175802e+00,9.996331733233e-01,7.002233425888e-07
5.203560033931e-03,9.591411605603e-07,1.625145172970e+00,9.996313519382e-01,7.071941580532e-07
5.216462573497e-03,9.662936057571e-07,1.625145170109e+00,9.996295215035e-01,7.142343996404e-07
5.229397105685e-03,9.734994183496e-07,1.625145167220e+00,9.996276819684e-01,7.213447886456e-07
5.242363709822e-03,9.807588997349e-07,1.625145164303e+00,9.996258333248e-01,7.285258323819e-07
5.255362465432e-03,9.880725846571e-07,1.625145161356e+00,9.996239754760e-01,7.357785007141e-07
5.268393452238e-03,9.954407870007e-07,1.625145158380e+00,9.996221084108e-01,7.431033275932e-07
5.281456750157e-03,1.002863875659e-06,1.625145155375e+00,9.996202320977e-01,7.505009559809e-07
5.294552439309e-03,1.010342426939e-06,1.625145152339e+00,9.996183464274e-01,7.579724441836e-07
5.307680600008e-03,1.017876678591e-06,1.625145149273e+00,9.996164514200e-01,7.655181759070e-07
5.320841312770e-03,1.025467108224e-06,1.625145146177e+00,9.996145470057e-01,7.731390146863e-07
5.334034658309e-03,1.033114195744e-06,1.625145143050e+00,9.996126331147e-01,7.808358311094e-07
5.347260717541e-03,1.040818238731e-06,1.625145139892e+00,9.996107097470e-01,7.886091296727e-07
5.360519571581e-03,1.048579781717e-06,1.625145136702e+00,9.996087768106e-01,7.964599137156e-07
5.373811301745e-03,1.056399203548e-06,1.625145133481e+00,9.996068342767e-01,8.043888537631e-07
5.387135989553e-03,1.064276864225e-06,1.625145130227e+00,9.996048821243e-01,8.123965820686e-07
5.400493716724e-03,1.072213377983e-06,1.625145126941e+00,9.996029202387e-01,8.204842494532e-07
5.413884565182e-03,1.080209017791e-06,1.625145123623e+00,9.996009486332e-01,8.286523134594e-07
5.427308617053e-03,1.088264252093e-06,1.625145120271e+00,9.995989672492e-01,8.369016302839e-07
5.440765954666e-03,1.096379637644e-06,1.625145116886e+00,9.995969759968e-01,8.452332395162e-07
5.454256660557e-03,1.104555466613e-06,1.625145113468e+00,9.995949748846e-01,8.536476389257e-07
5.467780817462e-03,1.112792292514e-06,1.625145110015e+00,9.995929638259e-01,8.621458642563e-07
5.481338508327e-03,1.121090565931e-06,1.625145106528e+00,9.995909427727e-01,8.707287414923e-07
5.494929816300e-03,1.129450644738e-06,1.625145103006e+00,9.995889117123e-01,8.793969052258e-07
5.508554824737e-03,1.137873155868e-06,1.625145099449e+00,9.995868705343e-01,8.881515493143e-07
5.522213617201e-03,1.146358438647e-06,1.625145095857e+00,9.995848192344e-01,8.969932722413e-07
5.535906277461e-03,1.154906940202e-06,1.625145092229e+00,9.995827577700e-01,9.059228966094e-07
5.549632889495e-03,1.163519301747e-06,1.625145088565e+00,9.995806860292e-01,9.149416529537e-07
5.563393537487e-03,1.172195808263e-06,1.625145084864e+00,9.995786040299e-01,9.240500277807e-07
5.577188305832e-03,1.180937021305e-06,1.625145081127e+00,9.995765116914e-01,9.332490877652e-07
5.591017279134e-03,1.189743470556e-06,1.625145077352e+00,9.995744089452e-01,9.425398354208e-07
5.604880542205e-03,1.198615510157e-06,1.625145073540e+00,9.995722957872e-01,9.519229037696e-07
5.618778180070e-03,1.207553778992e-06,1.625145069689e+00,9.995701721121e-01,9.613995289821e-07
5.632710277962e-03,1.216558689842e-06,1.625145065801e+00,9.995680378966e-01,9.709704706067e-07
5.646676921328e-03,1.225630668989e-06,1.625145061874e+00,9.995658931134e-01,9.806365166112e-07
5.660678195824e-03,1.234770435856e-06,1.625145057907e+00,9.995637376324e-01,9.903990819517e-07
5.674714187322e-03,1.243978280763e-06,1.625145053901e+00,9.995615714767e-01,1.000258667572e-06
5.688784981903e-03,1.253254767383e-06,1.625145049856e+00,9.995593945732e-01,1.010216358827e-06
5.702890665864e-03,1.262600512495e-06,1.625145045770e+00,9.995572068319e-01,1.020273358249e-06
5.717031325715e-03,1.272015864707e-06,1.625145041643e+00,9.995550082579e-01,1.030430292720e-06
5.731207048182e-03,1.281501473968e-06,1.625145037475e+00,9.995527987514e-01,1.040688439588e-06
5.745417920204e-03,1.291057834235e-06,1.625145033266e+00,9.995505782687e-01,1.051048741951e-06
5.759664028936e-03,1.300685370060e-06,1.625145029015e+00,9.995483467912e-01,1.061511992640e-06
5.773945461750e-03,1.310384816224e-06,1.625145024722e+00,9.995461041934e-01,1.072079660687e-06
5.788262306235e-03,1.320156537994e-06,1.625145020385e+00,9.995438504794e-01,1.082752412934e-06
5.802614650195e-03,1.330001075978e-06,1.625145016006e+00,9.995415855933e-01,1.093531298455e-06
5.817002581654e-03,1.339919142723e-06,1.625145011583e+00,9.995393094213e-01,1.104417745960e-06
5.831426188853e-03,1.349911079304e-06,1.625145007116e+00,9.995370219786e-01,1.115412370879e-06
5.845885560252e-03,1.359977545696e-06,1.625145002605e+00,9.995347231718e-01,1.126516490130e-06
5.860380784531e-03,1.370119125423e-06,1.625144998048e+00,9.995324129350e-01,1.137731255454e-06
5.874911950588e-03,1.380336239494e-06,1.625144993447e+00,9.995300912589e-01,1.149057459997e-06
5.889479147545e-03,1.390629637239e-06,1.625144988799e+00,9.995277580233e-01,1.160496626167e-06
5.904082464741e-03,1.400999766955e-06,1.625144984105e+00,9.995254132119e-01,1.172049610648e-06
5.918721991739e-03,1.411447141249e-06,1.625144979365e+00,9.995230567872e-01,1.183717412881e-06
5.933397818323e-03,1.421972577854e-06,1.625144974577e+00,9.995206886100e-01,1.195501716866e-06
5.948110034501e-03,1.432576408079e-06,1.625144969741e+00,9.995183087065e-01,1.207403120436e-06
5.962858730502e-03,1.443259300718e-06,1.625144964858e+00,9.995159169902e-01,1.219422977925e-06
5.977643996780e-03,1.454021937976e-06,1.625144959926e+00,9.995135133712e-01,1.231562677703e-06
5.992465924014e-03,1.464864735298e-06,1.625144954945e+00,9.995110978506e-01,1.243823007896e-06
6.007324603106e-03,1.475788455586e-06,1.625144949914e+00,9.995086703140e-01,1.256205543108e-06
6.022220125186e-03,1.486793638967e-06,1.625144944833e+00,9.995062307229e-01,1.268711356629e-06
6.037152581606e-03,1.497880788657e-06,1.625144939701e+00,9.995037790520e-01,1.281341437855e-06
6.052122063950e-03,1.509050765584e-06,1.625144934519e+00,9.995013151587e-01,1.294097593764e-06
6.067128664023e-03,1.520303961018e-06,1.625144929285e+00,9.994988390571e-01,1.306980562200e-06
6.082172473863e-03,1.531641027114e-06,1.625144923998e+00,9.994963506761e-01,1.319991677236e-06
6.097253585732e-03,1.543062754647e-06,1.625144918659e+00,9.994938499005e-01,1.333132595055e-06
6.112372092124e-03,1.554569551243e-06,1.625144913267e+00,9.994913367420e-01,1.346404092548e-06
6.127528085761e-03,1.566162192231e-06,1.625144907822e+00,9.994888110931e-01,1.359807794777e-06
6.142721659593e-03,1.577841319125e-06,1.625144902322e+00,9.994862728912e-01,1.373345021522e-06
6.157952906805e-03,1.589607431942e-06,1.625144896767e+00,9.994837221213e-01,1.387016765226e-06
6.173221920808e-03,1.601461409260e-06,1.625144891157e+00,9.994811586462e-01,1.400824900073e-06
6.188528795249e-03,1.613403736174e-06,1.625144885491e+00,9.994785824581e-01,1.414770387537e-06
6.203873624003e-03,1.625435034401e-06,1.625144879769e+00,9.994759935057e-01,1.428854507359e-06
6.219256501182e-03,1.637556214026e-06,1.625144873989e+00,9.994733916462e-01,1.443079218249e-06
6.234677521129e-03,1.649767672338e-06,1.625144868153e+00,9.994707769033e-01,1.457445278656e-06
6.250136778421e-03,1.662070195757e-06,1.625144862258e+00,9.994681491767e-01,1.471954361724e-06
6.265634367869e-03,1.674464537575e-06,1.625144856304e+00,9.994655083782e-01,1.486608067061e-06
6.281170384522e-03,1.686951192327e-06,1.625144850292e+00,9.994628545035e-01,1.501407383936e-06
6.296744923660e-03,1.699531055182e-06,1.625144844219e+00,9.994601874220e-01,1.516354252546e-06
6.312358080803e-03,1.712204715076e-06,1.625144838086e+00,9.994575071017e-01,1.531449889846e-06
6.328009951707e-03,1.724972767990e-06,1.625144831892e+00,9.994548135097e-01,1.546695529213e-06
6.343700632365e-03,1.737836222355e-06,1.625144825636e+00,9.994521064839e-01,1.562093392540e-06
6.359430219008e-03,1.750795494934e-06,1.625144819317e+00,9.994493860504e-01,1.577644289477e-06
6.375198808105e-03,1.763851370827e-06,1.625144812937e+00,9.994466521205e-01,1.593349912150e-06
6.391006496366e-03,1.777004726379e-06,1.625144806492e+00,9.994439045783e-01,1.609212177157e-06
6.406853380739e-03,1.790256048103e-06,1.625144799983e+00,9.994411434313e-01,1.625232063329e-06
6.422739558413e-03,1.803606246495e-06,1.625144793410e+00,9.994383685559e-01,1.641411575026e-06
6.438665126819e-03,1.817056025229e-06,1.625144786771e+00,9.994355798945e-01,1.657752220264e-06
6.454630183628e-03,1.830605977605e-06,1.625144780066e+00,9.994327774247e-01,1.674255239315e-06
6.470634826754e-03,1.844257133421e-06,1.625144773294e+00,9.994299609906e-01,1.690922938549e-06
6.486679154354e-03,1.858010015420e-06,1.625144766455e+00,9.994271305945e-01,1.707756390891e-06
6.502763264827e-03,1.871865375735e-06,1.625144759547e+00,9.994242861690e-01,1.724757229614e-06
6.518887256818e-03,1.885824226007e-06,1.625144752571e+00,9.994214275683e-01,1.741927729694e-06
6.535051229216e-03,1.899887041893e-06,1.625144745526e+00,9.994185548130e-01,1.759268851085e-06
6.551255281153e-03,1.914054747738e-06,1.625144738410e+00,9.994156677871e-01,1.776782659703e-06
6.567499512011e-03,1.928328173792e-06,1.625144731224e+00,9.994127664052e-01,1.794470994338e-06
6.583784021414e-03,1.942707908114e-06,1.625144723966e+00,9.994098506568e-01,1.812335094914e-06
6.600108909237e-03,1.957195000709e-06,1.625144716635e+00,9.994069203925e-01,1.830377351116e-06
6.616474275598e-03,1.971790091708e-06,1.625144709232e+00,9.994039755889e-01,1.848599137033e-06
6.632880220869e-03,1.986493893303e-06,1.625144701755e+00,9.994010162020e-01,1.867002005897e-06
6.649326845666e-03,2.001307565709e-06,1.625144694204e+00,9.993980420538e-01,1.885588637111e-06
6.665814250856e-03,2.016231570574e-06,1.625144686577e+00,9.993950531789e-01,1.904359961992e-06
6.682342537558e-03,2.031266844380e-06,1.625144678875e+00,9.993920494698e-01,1.923318104548e-06
6.698911807140e-03,2.046414356808e-06,1.625144671096e+00,9.993890308111e-01,1.942465278619e-06
6.715522161220e-03,2.061674687815e-06,1.625144663239e+00,9.993859972052e-01,1.961802715303e-06
6.732173701670e-03,2.077048906224e-06,1.625144655304e+00,9.993829485102e-01,1.981332885659e-06
6.748866530615e-03,2.092537781971e-06,1.625144647290e+00,9.993798846747e-01,2.001057507300e-06
6.765600750432e-03,2.108142018435e-06,1.625144639197e+00,9.993768056685e-01,2.020978128414e-06
6.782376463751e-03,2.123862822288e-06,1.625144631023e+00,9.993737113138e-01,2.041097586186e-06
6.799193773459e-03,2.139700754188e-06,1.625144622767e+00,9.993706016256e-01,2.061417069910e-06
6.816052782696e-03,2.155656721937e-06,1.625144614430e+00,9.993674765174e-01,2.081938657941e-06
6.832953594859e-03,2.171731848607e-06,1.625144606009e+00,9.993643358415e-01,2.102664988504e-06
6.849896313601e-03,2.187926702856e-06,1.625144597504e+00,9.993611796142e-01,2.123597273989e-06
6.866881042831e-03,2.204242370697e-06,1.625144588915e+00,9.993580077019e-01,2.144738064016e-06
6.883907886717e-03,2.220679765360e-06,1.625144580240e+00,9.993548200232e-01,2.166089467011e-06
6.900976949685e-03,2.237239585419e-06,1.625144571479e+00,9.993516165605e-01,2.187653034947e-06
6.918088336420e-03,2.253923062086e-06,1.625144562631e+00,9.993483971431e-01,2.209431709957e-06
6.935242151866e-03,2.270730888676e-06,1.625144553694e+00,9.993451617582e-01,2.231427036152e-06
6.952438501226e-03,2.287663929540e-06,1.625144544669e+00,9.993419103444e-01,2.253641004071e-06
6.969677489968e-03,2.304723476286e-06,1.625144535554e+00,9.993386427192e-01,2.276076731235e-06
6.986959223818e-03,2.321910082714e-06,1.625144526348e+00,9.993353589141e-01,2.298735399883e-06
7.004283808764e-03,2.339224850133e-06,1.625144517050e+00,9.993320588046e-01,2.321619634357e-06
7.021651351059e-03,2.356668849719e-06,1.625144507660e+00,9.993287422767e-01,2.344731986650e-06
7.039061957218e-03,2.374242772019e-06,1.625144498177e+00,9.993254093269e-01,2.368074002629e-06
7.056515734021e-03,2.391947871267e-06,1.625144488598e+00,9.993220597923e-01,2.391648727399e-06
7.074012788511e-03,2.409784987576e-06,1.625144478925e+00,9.993186936299e-01,2.415458110301e-06
7.091553227998e-03,2.427754954145e-06,1.625144469156e+00,9.993153107997e-01,2.439504081778e-06
7.109137160058e-03,2.445859184484e-06,1.625144459288e+00,9.993119110999e-01,2.463790130778e-06
7.126764692534e-03,2.464098276644e-06,1.625144449323e+00,9.993084945602e-01,2.488317565139e-06
7.144435933535e-03,2.482473324011e-06,1.625144439259e+00,9.993050610721e-01,2.513089022605e-06
7.162150991439e-03,2.500985571624e-06,1.625144429094e+00,9.993016104870e-01,2.538107557528e-06
7.179909974893e-03,2.519635698404e-06,1.625144418829e+00,9.992981428159e-01,2.563374698123e-06
7.197712992813e-03,2.538424979812e-06,1.625144408461e+00,9.992946579053e-01,2.588893589454e-06
7.215560154385e-03,2.557354418130e-06,1.625144397989e+00,9.992911556793e-01,2.614666642398e-06
7.233451569066e-03,2.576424842442e-06,1.625144387414e+00,9.992876361118e-01,2.640695797046e-06
7.251387346584e-03,2.595637695980e-06,1.625144376733e+00,9.992840990084e-01,2.666984674313e-06
7.269367596939e-03,2.614993726651e-06,1.625144365946e+00,9.992805443687e-01,2.693534999815e-06
7.287392430404e-03,2.634493980739e-06,1.625144355052e+00,9.992769721115e-01,2.720349315913e-06
7.305461957526e-03,2.654139894412e-06,1.625144344049e+00,9.992733820503e-01,2.747431244789e-06
7.323576289126e-03,2.673932130955e-06,1.625144332936e+00,9.992697742127e-01,2.774782283595e-06
7.341735536299e-03,2.693871984956e-06,1.625144321713e+00,9.992661484545e-01,2.802405673146e-06
7.359939810416e-03,2.713960637572e-06,1.625144310379e+00,9.992625046651e-01,2.830304348692e-06
7.378189223123e-03,2.734198910146e-06,1.625144298931e+00,9.992588428333e-01,2.858480248451e-06
7.396483886345e-03,2.754588273974e-06,1.625144287369e+00,9.992551627729e-01,2.886937123355e-06
7.414823912284e-03,2.775129642926e-06,1.625144275693e+00,9.992514644513e-01,2.915677176780e-06
7.433209413417e-03,2.795824006317e-06,1.625144263900e+00,9.992477478164e-01,2.944702822065e-06
7.451640502505e-03,2.816673010179e-06,1.625144251990e+00,9.992440126414e-01,2.974018322072e-06
7.470117292585e-03,2.837677297704e-06,1.625144239961e+00,9.992402589714e-01,3.003625127390e-06
7.488639896975e-03,2.858838180171e-06,1.625144227812e+00,9.992364866733e-01,3.033526569005e-06
7.507208429275e-03,2.880157035751e-06,1.625144215542e+00,9.992326955984e-01,3.063726176596e-06
7.525823003367e-03,2.901634673995e-06,1.625144203151e+00,9.992288857517e-01,3.094225873022e-06
7.544483733412e-03,2.923272592290e-06,1.625144190636e+00,9.992250569567e-01,3.125029536068e-06
7.563190733858e-03,2.945071887983e-06,1.625144177996e+00,9.992212091453e-01,3.156139913902e-06
7.581944119435e-03,2.967033544184e-06,1.625144165231e+00,9.992173422812e-01,3.187559428931e-06
7.600744005157e-03,2.989159252133e-06,1.625144152338e+00,9.992134561432e-01,3.219292535811e-06
7.619590506325e-03,3.011449814947e-06,1.625144139317e+00,9.992095507462e-01,3.251341150610e-06
7.638483738525e-03,3.033906496138e-06,1.625144126167e+00,9.992056259855e-01,3.283708510709e-06
7.657423817628e-03,3.056530890580e-06,1.625144112885e+00,9.992016816717e-01,3.316398818258e-06
7.676410859794e-03,3.079323791512e-06,1.625144099471e+00,9.991977178273e-01,3.349413965059e-06
7.695444981472e-03,3.102286720096e-06,1.625144085924e+00,9.991937342863e-01,3.382757951183e-06
7.714526299397e-03,3.125420976191e-06,1.625144072242e+00,9.991897309427e-01,3.416434144421e-06
7.733654930596e-03,3.148727535726e-06,1.625144058424e+00,9.991857077762e-01,3.450444971550e-06
7.752830992385e-03,3.172208124046e-06,1.625144044468e+00,9.991816645746e-01,3.484795051081e-06
7.772054602370e-03,3.195863731834e-06,1.625144030373e+00,9.991776013177e-01,3.519486862033e-06
7.791325878451e-03,3.219695560580e-06,1.625144016138e+00,9.991735179324e-01,3.554523499923e-06
7.810644938818e-03,3.243705443228e-06,1.625144001761e+00,9.991694141857e-01,3.589909926248e-06
7.830011901955e-03,3.267894151677e-06,1.625143987241e+00,9.991652901189e-01,3.625647983569e-06
7.849426886640e-03,3.292263228163e-06,1.625143972577e+00,9.991611455777e-01,3.661741788062e-06
7.868890011946e-03,3.316814195735e-06,1.625143957766e+00,9.991569804151e-01,3.698195410605e-06
7.888401397239e-03,3.341548018581e-06,1.625143942808e+00,9.991527946284e-01,3.735011266615e-06
7.907961162184e-03,3.366466453989e-06,1.625143927701e+00,9.991485880153e-01,3.772194135205e-06
7.927569426741e-03,3.391570700158e-06,1.625143912444e+00,9.991443605177e-01,3.809747138124e-06
7.947226311167e-03,3.416861921868e-06,1.625143897035e+00,9.991401120874e-01,3.847673296662e-06
7.966931936018e-03,3.442342100398e-06,1.625143881473e+00,9.991358424729e-01,3.885978089255e-06
7.986686422149e-03,3.468012093623e-06,1.625143865755e+00,9.991315517074e-01,3.924663627285e-06
8.006489890715e-03,3.493873424101e-06,1.625143849881e+00,9.991272396589e-01,3.963734021989e-06
8.026342463170e-03,3.519927860524e-06,1.625143833849e+00,9.991229061365e-01,4.003194140351e-06
8.046244261271e-03,3.546176350244e-06,1.625143817658e+00,9.991185511563e-01,4.043046368069e-06
8.066195407076e-03,3.572620679940e-06,1.625143801305e+00,9.991141745272e-01,4.083295639962e-06
8.086196022944e-03,3.599262277017e-06,1.625143784789e+00,9.991097761502e-01,4.123945809611e-06
8.106246231541e-03,3.626102299983e-06,1.625143768110e+00,9.991053559943e-01,4.164999911591e-06
8.126346155833e-03,3.653142771448e-06,1.625143751264e+00,9.991009138175e-01,4.206463630464e-06
8.146495919095e-03,3.680384761189e-06,1.625143734250e+00,9.990964496152e-01,4.248339740549e-06
8.166695644905e-03,3.707829724473e-06,1.625143717067e+00,9.990919632895e-01,4.290632198597e-06
8.186945457148e-03,3.735479699992e-06,1.625143699713e+00,9.990874546021e-01,4.333346771272e-06
8.207245480016e-03,3.763335612594e-06,1.625143682186e+00,9.990829235895e-01,4.376485793246e-06
8.227595838010e-03,3.791399275363e-06,1.625143664485e+00,9.990783700731e-01,4.420054348245e-06
8.247996655939e-03,3.819672368477e-06,1.625143646607e+00,9.990737939095e-01,4.464057121111e-06
8.268448058920e-03,3.848156039042e-06,1.625143628551e+00,9.990691950868e-01,4.508497141370e-06
8.288950172384e-03,3.876852348637e-06,1.625143610316e+00,9.990645733735e-01,4.553380296472e-06
8.309503122069e-03,3.905762601665e-06,1.625143591899e+00,9.990599287239e-01,4.598710118609e-06
8.330107034026e-03,3.934888177071e-06,1.625143573299e+00,9.990552610762e-01,4.644490372112e-06
8.350762034621e-03,3.964231395242e-06,1.625143554514e+00,9.990505701447e-01,4.690727792185e-06
8.371468250530e-03,3.993793166950e-06,1.625143535541e+00,9.990458559843e-01,4.737424684238e-06
8.392225808745e-03,4.023575323311e-06,1.625143516380e+00,9.990411184315e-01,4.784586256467e-06
8.413034836571e-03,4.053579822874e-06,1.625143497028e+00,9.990363572952e-01,4.832218135821e-06
8.433895461632e-03,4.083807795604e-06,1.625143477483e+00,9.990315725837e-01,4.880323325330e-06
8.454807811865e-03,4.114261339243e-06,1.625143457744e+00,9.990267640777e-01,4.928907910165e-06
8.475772015527e-03,4.144942017535e-06,1.625143437808e+00,9.990219316872e-01,4.977976286464e-06
8.496788201190e-03,4.175851204498e-06,1.625143417674e+00,9.990170753688e-01,5.027532244260e-06
8.517856497747e-03,4.206991270488e-06,1.625143397340e+00,9.990121948470e-01,5.077582777636e-06
8.538977034411e-03,4.238363365584e-06,1.625143376803e+00,9.990072901359e-01,5.128130972195e-06
8.560149940714e-03,4.269969248160e-06,1.625143356061e+00,9.990023611087e-01,5.179181869876e-06
8.581375346510e-03,4.301811182916e-06,1.625143335113e+00,9.989974075229e-01,5.230742163202e-06
8.602653381973e-03,4.333890276281e-06,1.625143313957e+00,9.989924294090e-01,5.282814803765e-06
8.623984177603e-03,4.366208658865e-06,1.625143292589e+00,9.989874265609e-01,5.335406067051e-06
8.645367864222e-03,4.398768180611e-06,1.625143271009e+00,9.989823988407e-01,5.388521331564e-06
8.666804572976e-03,4.431570204843e-06,1.625143249215e+00,9.989773462255e-01,5.442164391703e-06
8.688294435337e-03,4.464617149307e-06,1.625143227203e+00,9.989722684510e-01,5.496342497353e-06
8.709837583101e-03,4.497910429274e-06,1.625143204972e+00,9.989671654870e-01,5.551059627251e-06
8.731434148394e-03,4.531451714612e-06,1.625143182520e+00,9.989620372467e-01,5.606320594300e-06
8.753084263668e-03,4.565243606308e-06,1.625143159845e+00,9.989568834324e-01,5.662133294015e-06
8.774788061702e-03,4.599287180145e-06,1.625143136943e+00,9.989517040987e-01,5.718500597671e-06
8.796545675607e-03,4.633584595763e-06,1.625143113814e+00,9.989464990539e-01,5.775428961110e-06
8.818357238822e-03,4.668138018481e-06,1.625143090454e+00,9.989412681088e-01,5.832924877264e-06
8.840222885118e-03,4.702948794472e-06,1.625143066862e+00,9.989360112623e-01,5.890992119874e-06
8.862142748597e-03,4.738019385796e-06,1.625143043035e+00,9.989307282629e-01,5.949638189282e-06
8.884116963693e-03,4.773351501065e-06,1.625143018971e+00,9.989254190325e-01,6.008868083621e-06
8.906145665176e-03,4.808946768524e-06,1.625142994667e+00,9.989200835133e-01,6.068686531135e-06
8.928228988146e-03,4.844807965227e-06,1.625142970121e+00,9.989147213917e-01,6.129102134025e-06
8.950367068042e-03,4.880936321313e-06,1.625142945331e+00,9.989093327046e-01,6.190118299102e-06
8.972560040636e-03,4.917333956728e-06,1.625142920295e+00,9.989039172913e-01,6.251741433283e-06
8.994808042038e-03,4.954003383837e-06,1.625142895008e+00,9.988984749067e-01,6.313979291092e-06
9.017111208696e-03,4.990945924459e-06,1.625142869471e+00,9.988930055737e-01,6.376835596432e-06
9.039469677395e-03,5.028164081334e-06,1.625142843678e+00,9.988875090551e-01,6.440318092140e-06
9.061883585260e-03,5.065659887022e-06,1.625142817629e+00,9.988819852210e-01,6.504432936747e-06
9.084353069755e-03,5.103434960263e-06,1.625142791322e+00,9.988764340353e-01,6.569184876399e-06
9.106878268686e-03,5.141492135580e-06,1.625142764751e+00,9.988708551967e-01,6.634582835221e-06
9.129459320200e-03,5.179832942740e-06,1.625142737917e+00,9.988652486941e-01,6.700631271945e-06
9.152096362788e-03,5.218459405574e-06,1.625142710815e+00,9.988596144099e-01,6.767336343444e-06
9.174789535282e-03,5.257374417868e-06,1.625142683443e+00,9.988539520394e-01,6.834707229678e-06
9.197538976859e-03,5.296579269060e-06,1.625142655799e+00,9.988482616312e-01,6.902747570865e-06
9.220344827044e-03,5.336076498326e-06,1.625142627880e+00,9.988425429638e-01,6.971465341363e-06
9.243207225703e-03,5.375868495430e-06,1.625142599683e+00,9.988367958514e-01,7.040868017422e-06
9.266126313052e-03,5.415956862341e-06,1.625142571205e+00,9.988310202820e-01,7.110960333921e-06
9.289102229655e-03,5.456344487686e-06,1.625142542444e+00,9.988252159675e-01,7.181751531546e-06
9.312135116423e-03,5.497033232925e-06,1.625142513396e+00,9.988193828452e-01,7.253247271197e-06
9.335225114617e-03,5.538025026037e-06,1.625142484060e+00,9.988135208400e-01,7.325453445390e-06
9.358372365847e-03,5.579323119610e-06,1.625142454430e+00,9.988076295959e-01,7.398380630539e-06
9.381577012077e-03,5.620928821678e-06,1.625142424507e+00,9.988017091765e-01,7.472032555357e-06
9.404839195621e-03,5.662844682978e-06,1.625142394285e+00,9.987957593819e-01,7.546417340867e-06
9.428159059145e-03,5.705073486584e-06,1.625142363762e+00,9.987897799664e-01,7.621543956411e-06
9.451536745672e-03,5.747616809579e-06,1.625142332936e+00,9.987837709434e-01,7.697417091503e-06
9.474972398576e-03,5.790477590699e-06,1.625142301802e+00,9.987777320403e-01,7.774046294951e-06
9.498466161588e-03,5.833658057969e-06,1.625142270359e+00,9.987716631383e-01,7.851438597695e-06
9.522018178797e-03,5.877160131655e-06,1.625142238603e+00,9.987655641858e-01,7.929599929101e-06
9.545628594647e-03,5.920987133861e-06,1.625142206530e+00,9.987594348397e-01,8.008541270055e-06
9.569297553940e-03,5.965140711032e-06,1.625142174138e+00,9.987532751119e-01,8.088267587431e-06
9.593025201840e-03,6.009623309910e-06,1.625142141425e+00,9.987470848489e-01,8.168786732323e-06
9.616811683867e-03,6.054438146075e-06,1.625142108384e+00,9.987408637405e-01,8.250109362492e-06
9.640657145905e-03,6.099586762676e-06,1.625142075016e+00,9.987346118277e-01,8.332240082450e-06
9.664561734197e-03,6.145072143869e-06,1.625142041315e+00,9.987283288549e-01,8.415188737144e-06
9.688525595352e-03,6.190896922143e-06,1.625142007278e+00,9.987220146427e-01,8.498963914932e-06
9.712548876339e-03,6.237063001884e-06,1.625141972903e+00,9.987156691655e-01,8.583571548076e-06
