# Base profile of the inner-extremal family (triple root) (src/stability/triple_root_monotone.py, base0, sigma_min=1), units G=c=M=1, lambda=ell/M=0.27102, rho_c=1.625145, R-=0.67744, R+=1.98465; columns: R, m(R) (Misner-Sharp mass), rho(R) (= -T^t_t = -T^R_R), f = 1-2m/R, sigma = -d ln rho/d ln R; p_perp = -rho(1 - sigma/2)
R,m,rho,f,sigma
1.160196585076e-03,1.063095097563e-08,1.625145459583e+00,9.999816738799e-01,1.747683573752e-09
1.163073362176e-03,1.071022841085e-08,1.625145459576e+00,9.999815828842e-01,1.765082229811e-09
1.165957272418e-03,1.079009680429e-08,1.625145459569e+00,9.999814914370e-01,1.782653994183e-09
1.168848333488e-03,1.087056013277e-08,1.625145459562e+00,9.999813995369e-01,1.800400399687e-09
1.171746563117e-03,1.095162466523e-08,1.625145459554e+00,9.999813071785e-01,1.818323994830e-09
1.174651979081e-03,1.103329296783e-08,1.625145459547e+00,9.999812143628e-01,1.836425695275e-09
1.177564599198e-03,1.111557020639e-08,1.625145459539e+00,9.999811210863e-01,1.854707567565e-09
1.180484441332e-03,1.119846160537e-08,1.625145459532e+00,9.999810273457e-01,1.873171710178e-09
1.183411523390e-03,1.128197037926e-08,1.625145459524e+00,9.999809331409e-01,1.891819328399e-09
1.186345863323e-03,1.136610241901e-08,1.625145459517e+00,9.999808384675e-01,1.910652823999e-09
1.189287479129e-03,1.145086185416e-08,1.625145459509e+00,9.999807433240e-01,1.929673815824e-09
1.192236388847e-03,1.153625257554e-08,1.625145459501e+00,9.999806477093e-01,1.948883815488e-09
1.195192610564e-03,1.162228122939e-08,1.625145459493e+00,9.999805516180e-01,1.968285578403e-09
1.198156162411e-03,1.170895079815e-08,1.625145459485e+00,9.999804550506e-01,1.987880212798e-09
1.201127062562e-03,1.179626633585e-08,1.625145459477e+00,9.999803580042e-01,2.007669761918e-09
1.204105329239e-03,1.188423390136e-08,1.625145459469e+00,9.999802604745e-01,2.027656730491e-09
1.207090980706e-03,1.197285664981e-08,1.625145459461e+00,9.999801624619e-01,2.047842307255e-09
1.210084035276e-03,1.206214056882e-08,1.625145459453e+00,9.999800639621e-01,2.068228971291e-09
1.213084511304e-03,1.215209056695e-08,1.625145459444e+00,9.999799649728e-01,2.088818715230e-09
1.216092427193e-03,1.224271051127e-08,1.625145459436e+00,9.999798654934e-01,2.109613055875e-09
1.219107801390e-03,1.233400718496e-08,1.625145459427e+00,9.999797655184e-01,2.130614851442e-09
1.222130652388e-03,1.242598429114e-08,1.625145459419e+00,9.999796650476e-01,2.151825549141e-09
1.225160998727e-03,1.251864665136e-08,1.625145459410e+00,9.999795640791e-01,2.173247110746e-09
1.228198858991e-03,1.261200124145e-08,1.625145459401e+00,9.999794626071e-01,2.194882499943e-09
1.231244251812e-03,1.270605113788e-08,1.625145459392e+00,9.999793606328e-01,2.216732878007e-09
1.234297195868e-03,1.280080241470e-08,1.625145459383e+00,9.999792581520e-01,2.238800797760e-09
1.237357709882e-03,1.289626083936e-08,1.625145459374e+00,9.999791551615e-01,2.261088676235e-09
